x,y,z,labels
-0.35404259,-9.745597839,-0.006584055,still
-0.332494766,-9.793481827,0.024540568,still
-0.155323833,-9.827000618,0.048482586,still
-0.155323833,-9.827000618,0.048482586,still
-0.239120901,-9.747992516,0.127491236,still
-0.239120901,-9.747992516,0.105943426,still
-0.069132574,-9.793481827,0.211288303,still
-0.00688333,-9.771934509,0.273537546,still
-0.078709379,-9.834183693,0.213682503,still
-0.045190558,-9.714473724,0.302267969,still
-0.023642741,-9.714473724,0.302267969,still
-0.016460137,-9.779116631,0.194528893,still
-0.12898761,-9.716867447,0.357334614,still
-0.155323833,-9.769539833,0.534505546,still
-0.160112232,-9.757569313,0.477044702,still
0.07451953,-9.695320129,0.747589469,still
0.07451953,-9.695320129,0.747589469,still
0.177470207,-9.637859344,0.723647475,still
-0.212784678,-9.724050522,1.018134236,still
-0.318129539,-9.776722908,0.860116959,still
0.919672728,-9.755174637,0.977432847,still
0.072125323,-9.616311073,1.875258446,still
-0.069132574,-9.810241699,1.59753108,still
0.665887356,-9.838972092,0.606331587,still
0.318728089,-9.745597839,1.714846969,still
-0.081103586,-9.721655846,1.33656311,still
-0.081103586,-9.721655846,1.33656311,still
0.000299275,-9.719262123,1.240795016,still
-0.052373163,-9.812635422,0.864905357,still
-0.294187546,-9.685743332,1.367687702,still
-0.294187546,-9.685743332,1.367687702,still
-0.655712008,-9.704896927,0.654215634,still
-0.2415151,-9.673771858,1.092354536,still
-0.042796355,-9.704896927,1.197699428,still
-0.042796355,-9.704896927,1.197699428,still
-0.500088871,-9.733627319,0.036511578,still
-0.212784678,-9.673771858,0.800261915,still
-0.473752648,-9.848548889,-0.061650693,still
-0.473752648,-9.848548889,-0.061650693,still
-0.521636724,-9.676166534,0.105943426,still
-1.182436347,-9.81742382,-0.267552048,still
-0.931045175,-9.889249802,-0.001795651,still
-0.931045175,-9.889249802,-0.001795651,still
-0.595856965,-9.530119896,-0.858919859,still
-0.902314782,-9.807847023,-0.997783542,still
-0.902314782,-9.807847023,-0.997783542,still
-0.574309111,-9.97065258,-1.182137132,still
-0.461781651,-9.781511307,-1.033696532,still
-0.892737985,-9.673771858,-0.844554663,still
-1.309329033,-9.388861656,-1.467047095,still
-1.309329033,-9.388861656,-1.467047095,still
-0.318129539,-9.604340553,-1.170166135,still
